rowid,utility_id_ferc1,plant_name_ferc1,plant_type,installation_year,capacity_mw,peak_demand_mw,plant_hours_connected_while_generating,net_capacity_favorable_conditions_mw,net_capacity_adverse_conditions_mw,net_generation_mwh
3130,134,iron gate,Storage,1962.0,18.0,19.0,8385.0,19.0,19.0,119843.0
3131,134,jc boyle,Storage,1958.0,97.98,83.0,6678.0,83.0,83.0,335014.0
3132,134,lemolo no. 1,Storage,1955.0,31.99,32.0,8589.0,32.0,32.0,168158.0
3133,134,lemolo no. 2,Run-of River,1956.0,38.5,34.0,8092.0,39.0,39.0,182966.0
3134,134,merwin,Storage (Re-Reg),1958.0,136.0,139.0,8759.0,151.0,151.0,576030.0
3135,134,toketee,Storage,1950.0,42.5,44.0,8755.0,45.0,45.0,263816.0
3136,134,oneida,Storage,1920.0,30.0,23.0,8760.0,28.0,28.0,77321.0
3137,134,prospect no. 2,Run-of River,1928.0,32.0,36.0,8373.0,36.0,36.0,251221.0
3138,134,slide creek,Run-of-River,1951.0,18.0,17.0,3059.0,18.0,18.0,37135.0
3139,134,soda,Storage,1924.0,14.0,8.0,8350.0,14.0,14.0,35155.0
3140,134,soda springs,Storage (Re-Reg),1952.0,11.0,12.0,8749.0,12.0,12.0,70977.0
3141,134,swift no. 1,Storage,1958.0,240.0,257.0,6410.0,264.0,263.0,791748.0
3142,134,yale,Storage,1953.0,134.0,163.0,6627.0,164.0,164.0,661211.0
3143,134,olmsted,Run-of-River,1922.0,10.3,10.0,8740.0,10.0,10.0,45255.0
3144,145,shoshone,Run-of-River,1909.0,14.4,15.0,7555.0,15.0,8.0,56003.0
3145,133,balch no. 1,R of R/Storage,1927.0,31.0,34.0,7704.0,34.0,34.0,175245.737
3146,133,balch no. 2,R of R/Storage,1958.0,97.2,105.0,7852.0,105.0,104.0,570039.107
3147,133,belden,R of R/Storage,1969.0,117.9,125.0,4779.0,125.0,125.0,314902.728
3148,133,james b. black, R of R/Storage,1966.0,168.66,172.0,8750.0,172.0,172.0,738779.966
3149,133,bucks creek,R of R/Storage,1928.0,66.0,65.0,8760.0,65.0,53.0,305401.017
3150,133,butt valley,R of R/Storage,1958.0,40.0,41.0,8215.0,41.0,38.0,184175.076
3151,133,caribou no. 1,R of R/Storage,1924.0,73.85,75.0,7078.0,75.0,74.0,93353.769
3152,133,caribou no. 2,R of R/Storage,1958.0,117.9,120.0,8674.0,120.0,119.0,627567.072
3153,133,coleman,R of R/Storage,1979.0,12.15,13.0,8458.0,13.0,5.0,64679.697
3154,133,cresta, R of R/Storage,1950.0,73.8,70.0,8755.0,70.0,72.0,385688.01
3155,133,de sabla,R of R/Storage,1963.0,18.45,19.0,7803.0,19.0,19.0,96634.859
3156,133,drum no. 1,R of R/Storage,1928.0,49.2,54.0,4109.0,54.0,54.0,98803.604
3157,133,drum no. 2,R of R/Storage,1965.0,53.1,50.0,6241.0,50.0,49.0,283610.207
3158,133,dutch flat,R of R/Storage,1943.0,22.0,22.0,8185.0,22.0,23.0,100991.07
3159,133,electra,R of R/Storage,1948.0,102.5,98.0,8627.0,98.0,98.0,499375.259
3160,133,haas,R of R/Storage,1958.0,135.0,144.0,8076.0,144.0,138.0,711862.702
3161,133,halsey,R of R/Storage,1916.0,13.6,11.0,5835.0,11.0,11.0,38866.121
3162,133,hat creek no. 1,R of R/Storage,1921.0,10.0,9.0,8244.0,9.0,4.0,29656.984
3163,133,hat creek no. 2,R of R/Storage,1921.0,10.0,9.0,8368.0,9.0,9.0,41386.219
3164,133,kerckhoff no. 2,R of R/Storage,1983.0,139.5,155.0,7453.0,155.0,151.0,714370.022
3165,133,kings river,R of R/Storage,1962.0,48.6,52.0,6755.0,52.0,52.0,177817.929
3166,133,narrows,R of R/Storage,1942.0,10.2,12.0,6868.0,12.0,12.0,71593.966
3167,133,pit no.1,R of R/Storage,1922.0,69.3,61.0,8679.0,61.0,61.0,242918.615
3168,133,pit no. 3,R of R/Storage,1925.0,80.19,70.0,8711.0,70.0,70.0,333067.538
3169,133,pit no. 4,R of R/Storage,1955.0,103.5,95.0,8754.0,95.0,95.0,464077.915
3170,133,pit no. 5,R of R/Storage,1944.0,141.84,160.0,8760.0,160.0,160.0,791140.948
3171,133,pit no. 6,R of R/Storage,1965.0,79.2,80.0,8751.0,80.0,80.0,381504.431
3172,133,pit no. 7,R of R/Storage,1965.0,109.8,112.0,8760.0,112.0,112.0,528586.895
3173,133,poe,R of R/Storage,1958.0,142.83,120.0,8725.0,120.0,125.0,685893.221
3174,133,rock creek,R of R/Storage,1950.0,124.74,112.0,7871.0,112.0,114.0,453513.555
3175,133,salt springs,R of R/Storage,1953.0,42.03,44.0,7789.0,44.0,34.0,230705.193
3176,133,stanislaus,R of R/Storage,1963.0,81.9,91.0,8026.0,91.0,91.0,448968.638
3177,133,tiger creek,R of R/Storage,1931.0,52.28,58.0,7541.0,58.0,58.0,270097.753
3178,133,west point,R of R/Storage,1948.0,13.6,15.0,8053.0,15.0,13.0,94857.374
3179,133,wise no. 1,R of R/Storage,1917.0,13.6,14.0,6094.0,14.0,14.0,60589.779
3180,133,a.g. wishon,R of R/Storage,1910.0,12.8,20.0,6466.0,20.0,12.0,85754.195
3181,2,weiss,Storage,1962.0,87.8,83.0,8735.0,90.0,51.0,187423.0
3182,2,h. neely henry,Storage,1966.0,72.9,77.0,8754.0,77.0,9.0,179472.0
